N_number;EZH2+ cells;EZH2 reference total cell count
N139-03C;83232;557297
N1510-11;28833;246140
N1512-14B;51575;693621
N1593-12;8776;305069
N1734-10;5778;173928
N1814-09A;53844;464055
N1834-15;12665;177412
N1844-13B;76495;452624
N204-11;488;184375
N2041-14D;4890;213155
N2264-13;48321;79117
N2310-13D;109800;436468
N234-09C;823;30961
N2371-15B;54866;194004
N2373-15;31566;200589
N2375-15;2303;73950
N2380-15C;170133;427913
N2381-15;127844;441772
N2448-14;1561;70196
N2452-14;18809;329657
N2457-14;10520;396270
N2463-14;7300;49528
N2464-14A;33740;252647
N2465-14A;20714;116595
N2506-14B;4717;542616
N269-16;2553;73231
N444-16B1;15273;298668
N490-13B;18876;810639
N531-07;7989;127671
N536-07;25441;137231
N623-04;16529;242065
N668-06;127905;578951
N677-15;27884;193273
N678-15;13963;145879
N681-15;2494;391229
N693-15;47095;406721
N695-15;29295;326281
N700-15B;13252;353160
N702-15;29162;541646
N706-15;88884;443180
N709-15;47285;412091
N713-15;33488;214411
N720-15B;2865;256741
N721-15;33701;153647
N759-15B;428371;645407
N762-14B;31262;403760
N806-12;1478;184586
N820-07C;80068;509670
N845-13;54840;707778
N853-13A;6060;372601
N883-16A;82549;227858
N910-14B;110375;1007006
N995-11;67231;501063
N1025-10;54049;613111
N1161-06;45211;188385
N1165-14A;43710;431486
N1186-15;40452;525721
N1188-15;82129;564832
N1196-15;127605;488090
N1201-15;29563;463932
N1202-15;2006;166017
N1205-15;2924;274871
N1210-15B;41109;561819
N1212-15;1997;18308
N1232-15;305;20643
N1237-15;20401;150089
N1243-15;1021;27366
N1246-15;20358;519524
N1247-15;24088;609613
N1248-04;23318;294837
N1283-13B;30161;290295
N1317-12;2751;132705
