position_rrbs;N_number;plate_dna;position_dna;experiment;plate_dna_abbrev
A01;N1381-12;PS-151110-166 EA00 plate 2;A1;AK53;EA003_plate2
A02;N1198-08;PS-151110-166 EA00 plate 2;B1;AK53;EA003_plate2
A03;N1120-11;PS-151110-166 EA00 plate 2;C1;AK53;EA003_plate2
A04;N1222-10C;PS-151110-166 EA00 plate 2;D1;AK53;EA003_plate2
A05;N472-10;PS-151110-166 EA00 plate 2;E1;AK53;EA003_plate2
A06;N1028-11;PS-151110-166 EA00 plate 2;F1;AK53;EA003_plate2
A07;N1388-10;PS-151110-166 EA00 plate 2;G1;AK53;EA003_plate2
A08;N1056-11;PS-151110-166 EA00 plate 2;H1;AK53;EA003_plate2
A09;N1176-10;PS-151110-166 EA00 plate 2;A2;AK53;EA003_plate2
A10;N1020-09A;PS-151110-166 EA00 plate 2;B2;AK53;EA003_plate2
A11;N1563-11;PS-151110-166 EA00 plate 2;C2;AK53;EA003_plate2
A12;N1956-12;PS-151110-166 EA00 plate 2;D2;AK53;EA003_plate2
B01;N1281-11;PS-151110-166 EA00 plate 2;E2;AK53;EA003_plate2
B02;N1371-10;PS-151110-166 EA00 plate 2;F2;AK53;EA003_plate2
B03;N690-08;PS-151110-166 EA00 plate 2;G2;AK53;EA003_plate2
B04;N1625-11;PS-151110-166 EA00 plate 2;H2;AK53;EA003_plate2
B05;N276-15B;PS-151110-166 EA00 plate 2;A3;AK53;EA003_plate2
B06;N523-15A;PS-151110-166 EA00 plate 2;B3;AK53;EA003_plate2
B07;N2701-15;PS-151110-166 EA00 plate 2;C3;AK53;EA003_plate2
B08;N358-14C;PS-151110-166 EA00 plate 2;D3;AK53;EA003_plate2
B09;N870-14C;PS-151110-166 EA00 plate 2;E3;AK53;EA003_plate2
B10;N915-15;PS-151110-166 EA00 plate 2;F3;AK53;EA003_plate2
B11;N1613-14B;PS-151110-166 EA00 plate 2;G3;AK53;EA003_plate2
B12;N863-14A;PS-151110-166 EA00 plate 2;H3;AK53;EA003_plate2
C01;N1073-14D;PS-151110-166 EA00 plate 2;A4;AK53;EA003_plate2
C02;N667-14F;PS-151110-166 EA00 plate 2;B4;AK53;EA003_plate2
C03;N1071-14D;PS-151110-166 EA00 plate 2;C4;AK53;EA003_plate2
C04;N86-14E;PS-151110-166 EA00 plate 2;D4;AK53;EA003_plate2
C05;N2496-14D;PS-151110-166 EA00 plate 2;E4;AK53;EA003_plate2
C06;N211-15D;PS-151110-166 EA00 plate 2;F4;AK53;EA003_plate2
C07;N398-15D;PS-151110-166 EA00 plate 2;G4;AK53;EA003_plate2
C08;N1569-15B;PS-151110-166 EA00 plate 2;H4;AK53;EA003_plate2
C09;N1963-14B;PS-151110-166 EA00 plate 2;A5;AK53;EA003_plate2
C10;N828-15A;PS-151110-166 EA00 plate 2;B5;AK53;EA003_plate2
C11;N1275-15B;PS-151110-166 EA00 plate 2;C5;AK53;EA003_plate2
C12;N1555-14C;PS-151110-166 EA00 plate 2;D5;AK53;EA003_plate2
D01;N234-14C;PS-151110-166 EA00 plate 2;E5;AK53;EA003_plate2
D02;N2714-14B;PS-151110-166 EA00 plate 2;F5;AK53;EA003_plate2
D03;N2146-17;PS-151110-166 EA00 plate 2;G5;AK53;EA003_plate2
D04;N2147-17;PS-151110-166 EA00 plate 2;H5;AK53;EA003_plate2
D05;N2148-17;PS-151110-166 EA00 plate 2;A6;AK53;EA003_plate2
D06;N2149-17;PS-151110-166 EA00 plate 2;B6;AK53;EA003_plate2
D07;N2151-17;PS-151110-166 EA00 plate 2;C6;AK53;EA003_plate2
D08;N2152-17;PS-151110-166 EA00 plate 2;D6;AK53;EA003_plate2
D09;N2153-17;PS-151110-166 EA00 plate 2;E6;AK53;EA003_plate2
D10;N2154-17;PS-151110-166 EA00 plate 2;F6;AK53;EA003_plate2
D11;N2155-17;PS-151110-166 EA00 plate 2;G6;AK53;EA003_plate2
D12;N2156-17;PS-151110-166 EA00 plate 2;H6;AK53;EA003_plate2
E01;N2157-17;PS-151110-166 EA00 plate 2;A7;AK53;EA003_plate2
E02;N2158-17;PS-151110-166 EA00 plate 2;B7;AK53;EA003_plate2
E03;N2159-17;PS-151110-166 EA00 plate 2;C7;AK53;EA003_plate2
E04;N2160-17;PS-151110-166 EA00 plate 2;D7;AK53;EA003_plate2
E05;N2161-17;PS-151110-166 EA00 plate 2;E7;AK53;EA003_plate2
E06;N2162-17;PS-151110-166 EA00 plate 2;F7;AK53;EA003_plate2
E07;N2163-17;PS-151110-166 EA00 plate 2;G7;AK53;EA003_plate2
E08;N2164-17;PS-151110-166 EA00 plate 2;H7;AK53;EA003_plate2
E09;N2165-17;PS-151110-166 EA00 plate 2;A8;AK53;EA003_plate2
E10;N2170-17;PS-151110-166 EA00 plate 2;B8;AK53;EA003_plate2
E11;N2171-17;PS-151110-166 EA00 plate 2;C8;AK53;EA003_plate2
E12;N2172-17;PS-151110-166 EA00 plate 2;D8;AK53;EA003_plate2
F01;N2174-17;PS-151110-166 EA00 plate 2;E8;AK53;EA003_plate2
F02;N2175-17;PS-151110-166 EA00 plate 2;F8;AK53;EA003_plate2
F03;N2176-17;PS-151110-166 EA00 plate 2;G8;AK53;EA003_plate2
F04;N2177-17;PS-151110-166 EA00 plate 2;H8;AK53;EA003_plate2
F05;N2138-17;PS-151110-166 EA00 plate 2;A9;AK53;EA003_plate2
F06;N2358-14;PS-151110-166 EA00 plate 2;B9;AK53;EA003_plate2
F07;N1522-14A;PS-151110-166 EA00 plate 2;C9;AK53;EA003_plate2
F08;N2600-14A;PS-151110-166 EA00 plate 2;D9;AK53;EA003_plate2
F09;N2139-17A;PS-151110-166 EA00 plate 2;E9;AK53;EA003_plate2
F10;N2507-14;PS-151110-166 EA00 plate 2;F9;AK53;EA003_plate2
F11;N2044-14;PS-151110-166 EA00 plate 2;G9;AK53;EA003_plate2
F12;N2140-17;PS-151110-166 EA00 plate 2;H9;AK53;EA003_plate2
G01;N2141-17;PS-151110-166 EA00 plate 2;A10;AK53;EA003_plate2
G02;N2142-17;PS-151110-166 EA00 plate 2;B10;AK53;EA003_plate2
