GEO_id	patID	id
GSM2679021	ind_0	N458_14_f
GSM2679022	ind_0	N822_13_f
GSM2679023	ind_112	N1471_11A
GSM2679024	ind_113	N61_15D
GSM2679025	ind_114	N321_15C
GSM2679026	ind_115	N912_12F
GSM2679027	ind_116	N1783_14
GSM2679028	pat_001	N1168_05A
GSM2679029	pat_001	N1677_06
GSM2679030	pat_002	N1025_10
GSM2679031	pat_002	N1025_10_rk
GSM2679032	pat_002	N380_09B
GSM2679033	pat_003	N1109_10
GSM2679034	pat_003	N1109_10_rk
GSM2679035	pat_003	N1734_10
GSM2679036	pat_004	N1420_08
GSM2679037	pat_004	N1420_08_rk
GSM2679038	pat_004	N1_08
GSM2679039	pat_005	N1202_15
GSM2679040	pat_005	N1203_15
GSM2679041	pat_006	N1230_15
GSM2679042	pat_006	N1231_15
GSM2679043	pat_007	N1197_15
GSM2679044	pat_007	N1198_15
GSM2679045	pat_008	N1250_15
GSM2679046	pat_008	N1250_15_I
GSM2679047	pat_008	N1250_15_II
GSM2679048	pat_008	N1250_15_III
GSM2679049	pat_008	N1252_15A
GSM2679050	pat_008	N1252_15A_I
GSM2679051	pat_008	N1252_15A_II
GSM2679052	pat_008	N1252_15A_III
GSM2679053	pat_009	N708_15
GSM2679054	pat_009	N709_15
GSM2679055	pat_010	N1221_15
GSM2679056	pat_010	N1222_15
GSM2679057	pat_010	N1436_06
GSM2679058	pat_011	N1199_15B
GSM2679059	pat_011	N1199_15B_I
GSM2679060	pat_011	N1199_15B_II
GSM2679061	pat_011	N1199_15_BIII
GSM2679062	pat_011	N1200_15
GSM2679063	pat_011	N1200_15_I
GSM2679064	pat_011	N1200_15_II
GSM2679065	pat_011	N1200_15_III
GSM2679066	pat_011	N1201_15
GSM2679067	pat_011	N1201_15_I
GSM2679068	pat_011	N1201_15_II
GSM2679069	pat_011	N1201_15_III
GSM2679070	pat_012	N1218_15
GSM2679071	pat_012	N1218_15_I
GSM2679072	pat_012	N1218_15_II
GSM2679073	pat_012	N1218_15_III
GSM2679074	pat_012	N1219_15
GSM2679075	pat_012	N1219_15_I
GSM2679076	pat_012	N1219_15_II
GSM2679077	pat_012	N1220_15
GSM2679078	pat_012	N1220_15_I
GSM2679079	pat_012	N1220_15_II
GSM2679080	pat_012	N1220_15_III
GSM2679081	pat_013	N1237_15
GSM2679082	pat_013	N1238_15
GSM2679083	pat_013	N1239_15
GSM2679084	pat_014	N2462_14
GSM2679085	pat_014	N2463_14
GSM2679086	pat_014	N2464_14A
GSM2679087	pat_014	N2465_14A
GSM2679088	pat_015	N1106_05
GSM2679089	pat_015	N139_03C
GSM2679090	pat_015	N386_06
GSM2679091	pat_016	N1248_04
GSM2679092	pat_016	N465_05C
GSM2679093	pat_016	N960_03
GSM2679094	pat_017	N1223_15
GSM2679095	pat_017	N1224_15B
GSM2679096	pat_017	N1225_15A
GSM2679097	pat_018	N1232_15
GSM2679098	pat_018	N1233_15
GSM2679099	pat_018	N1234_15
GSM2679100	pat_019	N2489_14
GSM2679101	pat_019	N2490_14
GSM2679102	pat_019	N2491_14
GSM2679103	pat_020	N1180_10
GSM2679104	pat_020	N1180_10_rk
GSM2679105	pat_020	N1317_12
GSM2679106	pat_020	N1317_12_rk
GSM2679107	pat_020	N203_13A
GSM2679108	pat_021	N1592_95_12_f
GSM2679109	pat_021	N1593_12
GSM2679110	pat_021	N845_13
GSM2679111	pat_021	N845_13_f
GSM2679112	pat_022	N1518_07A
GSM2679113	pat_022	N719_07
GSM2679114	pat_023	N1735_09
GSM2679115	pat_023	N893_08
GSM2679116	pat_024	N1131_12_f
GSM2679117	pat_024	N1132_12B
GSM2679118	pat_024	N1844_13B
GSM2679119	pat_024	N1844_13_f
GSM2679120	pat_024	N1844_13_rk
GSM2679121	pat_025	N259_08
GSM2679122	pat_025	N531_07
GSM2679123	pat_026	N1814_09A
GSM2679124	pat_026	N1814_09_rk
GSM2679125	pat_026	N554_03B
GSM2679126	pat_027	N1154_13
GSM2679127	pat_027	N1154_55_13_f
GSM2679128	pat_027	N886_12
GSM2679129	pat_027	N886_12_f
GSM2679130	pat_027	N886_12_rk
GSM2679131	pat_028	N1165_14A
GSM2679132	pat_028	N1165_14_rk
GSM2679133	pat_028	N853_13A
GSM2679134	pat_029	N127_05A
GSM2679135	pat_029	N536_07
GSM2679136	pat_030	N2441_14C
GSM2679137	pat_030	N918_15
GSM2679138	pat_031	N1267_07_rr
GSM2679139	pat_031	N441_06
GSM2679140	pat_032	N1404_13
GSM2679141	pat_032	N1404_13_f
GSM2679142	pat_032	N1575_78_12_f
GSM2679143	pat_032	N1576_12
GSM2679144	pat_033	N1161_06
GSM2679145	pat_033	N1322_08A
GSM2679146	pat_034	N158_07
GSM2679147	pat_034	N225_06
GSM2679148	pat_035	N1279_14A
GSM2679149	pat_035	N1649_12
GSM2679150	pat_036	N861_08A
GSM2679151	pat_036	N861_08AI
GSM2679152	pat_036	N861_08AII
GSM2679153	pat_036	N861_08AIII
GSM2679154	pat_036	N986_07A
GSM2679155	pat_036	N986_07CI
GSM2679156	pat_036	N986_07CII
GSM2679157	pat_036	N986_07CIII
GSM2679158	pat_037	N1059_07A
GSM2679159	pat_037	N369_08
GSM2679160	pat_038	N225_09
GSM2679161	pat_038	N225_09_rk
GSM2679162	pat_038	N969_08
GSM2679163	pat_039	N204_11
GSM2679164	pat_039	N806_12
GSM2679165	pat_040	N1510_11
