Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg00000236;VDAC3;1,6772;0,03042;8;4,23E+07;"NM_005662;NM_001135694";"3'UTR;3'UTR";;0,0465849;;;
cg00000363;;-7,89891;-0,145714;1;2,31E+08;;;N_Shore;0,0497397;;;
cg00001261;;3,34583;0,130151;16;3,46E+06;;;;0,0382745;;;
cg00001269;;4,68889;0,1540625;20;4,90E+07;;;N_Shore;0,0382745;;;
cg00002426;SLMAP;-5,01621;-0,1693345;3;5,77E+07;NM_007159;1stExon;S_Shore;0,0450298;;;
cg00002646;S100A5;-9,60512;-0,163347;1;1,54E+08;NM_002962;TSS1500;;0,0462659;;;
cg00002719;C1orf114;4,30467;0,0870495;1;1,69E+08;NM_021179;TSS200;Island;0,0404081;;;
cg00002810;DAB1;2,7819;0,110613;1;5,79E+07;NM_021080;5'UTR;Island;0,0422425;;;
cg00003578;;2,42953;0,0925485;1;1,26E+07;;;Island;0,0498379;;;
cg00003858;RNF220;-4,23718;-0,1514995;1;4,51E+07;NM_018150;Body;N_Shelf;0,0459881;;;
cg00004105;LOXL4;4,34558;0,157686;10;1,00E+08;NM_032211;Body;;0,0455468;;;
cg00004608;;-1,49149;-0,043376;6;1,34E+08;;;N_Shore;0,0459393;;;
cg00004667;ZBTB17;4,65331;0,163748;1;1,63E+07;NM_003443;5'UTR;;0,046309;;;
cg00005622;;-4,84881;-0,1070495;8;1,45E+08;;;N_Shore;0,0462577;;;
cg00006243;OTOF;-2,03701;-0,064457;2;2,67E+07;NM_194248;Body;Island;0,0494641;;;
cg00006459;;13,2394;0,2726235;4;1,49E+08;;;;0,0434742;;;
cg00006948;;-53,4256;-0,3541005;4;1,77E+06;;;Island;0,0456249;;;
cg00007076;RRS1;8,38748;0,1857665;8;6,73E+07;"NM_015169;NM_015169";"1stExon;3'UTR";N_Shore;0,0446011;;;
cg00007300;LRRC16B;35,6296;0,3184325;14;2,45E+07;NM_138360;Body;Island;0,0382745;;;
cg00007420;C6orf168;7,64057;0,2007155;6;9,98E+07;NM_032511;Body;N_Shore;0,0403345;;;
cg00007800;;11,8326;0,1831235;1;1,84E+06;;;N_Shore;0,0382745;;;
cg00008446;NTRK1;3,37859;0,117555;1;1,57E+08;"NM_001007792;NM_014215";"Body;Body";Island;0,0445685;;;
cg00008665;C3orf39;2,30438;0,0384445;3;4,31E+07;NM_032806;5'UTR;N_Shore;0,0490906;;;
cg00009306;;35,5381;0,365586;14;2,30E+07;;;;0,0422425;;;
cg00010789;NCL;1,61815;0,0345395;2;2,32E+08;"NM_005381;NR_002921;NR_002908";"Body;TSS1500;TSS200";;0,0450492;;;
cg00011200;EBP;2,78981;0,0702035;X;4,84E+07;"NM_006579;NM_006579";"1stExon;5'UTR";Island;0,0402222;;;
cg00011861;;9,93973;0,240015;14;1,04E+08;;;S_Shore;0,0453662;;;
cg00012395;;1,92314;0,03075;X;1,29E+08;;;N_Shore;0,043799;;;
cg00012576;GPC6;-7,56562;-0,2159705;13;9,46E+07;NM_005708;Body;;0,0494064;;;
cg00012992;PRKCH;15,1946;0,275563;14;6,18E+07;NM_006255;TSS200;Island;0,0422328;;;
